Name,Birthday,Nationality
Ana Silva,1990-03-15,BRA
João Pereira,1985-07-22,BRA
Maria Santos,1992-11-08,PRT
Carlos Souza,1988-01-30,BRA
Luiza Fernandes,1995-05-19,BRA
Pedro Costa,1983-09-12,PRT
Mariana Alves,1998-12-03,BRA
Rafael Ribeiro,1991-06-25,BRA
Beatriz Martins,1987-04-10,PRT
Lucas Carvalho,1993-08-14,BRA
Fernanda Gomes,1989-02-28,BRA
Bruno Rocha,1996-10-06,BRA
Camila Barros,1994-03-21,BRA
Eduardo Nunes,1982-07-17,PRT
Patrícia Teixeira,1997-11-29,BRA
Gustavo Freitas,1990-01-05,BRA
Juliana Melo,1992-09-09,BRA
Ricardo Pires,1986-06-13,PRT
Aline Batista,1999-12-20,BRA
Thiago Azevedo,1984-04-02,BRA
